,Accident_code,Vehicle_type,Brand,Color,Years_license
273,2018S004381    ,Car,SEAT,Grey,5.0
274,2018S006693    ,Bike,KYMCO,Grey,9.0
275,2018S006693    ,Car,AUDI,Black,18.0
277,2018S000113    ,Car,FORD,Blue,1.0
280,2018S007965    ,Car,PEUGEOT,Blue,5.0
282,2018S004992    ,Car,PEUGEOT,Grey,23.0
283,2018S009006    ,Car,PEUGEOT,Grey,11.0
284,2018S003807    ,Car,PEUGEOT,Silver,1.0
286,2018S008417    ,Car,OPEL,Blue,1.0
287,2018S006205    ,Bike,YAMAHA,Black,9.0
288,2018S006205    ,Car,PEUGEOT,Black,18.0
289,2018S004458    ,Bike,KAWASAKI,Black,1.0
290,2018S004458    ,Car,SEAT,Blue,15.0
292,2018S005170    ,Car,ALFAROMEO,White,7.0
293,2018S005078    ,Car,LANDROVER,White,15.0
294,2018S005078    ,Car,OPEL,Grey,10.0
295,2018S007991    ,Car,RENAULT,Red,11.0
296,2018S007991    ,Car,SEAT,Black,16.0
297,2018S003495    ,Bike,PIAGGIO,Black,18.0
298,2018S003495    ,Car,BMW,Blue,39.0
299,2018S004836    ,Bike,GOVECS,White,13.0
305,2018S007166    ,Bike,HONDA,White,9.0
307,2018S007583    ,Bike,HONDA,Black,13.0
308,2018S007583    ,Car,AUDI,Blue,7.0
309,2018S002481    ,Bike,HONDA,Black,11.0
310,2018S002481    ,Car,BMW,Black,33.0
311,2018S004436    ,Bike,SCUTUM,Red,5.0
312,2018S007319    ,Bike,HONDA,Grey,10.0
313,2018S007319    ,Car,FIAT,Grey,10.0
314,2018S009935    ,Bike,GOVECS,White,1.0
315,2018S009935    ,Bike,SUZUKI,Blue,3.0
316,2018S008009    ,Car,BMW,Blue,46.0
317,2018S008009    ,Car,FORD,Grey,1.0
318,2018S007396    ,Car,MERCEDES,Grey,13.0
319,2018S007396    ,Car,CITROEN,Grey,8.0
321,2018S006835    ,Car,AUDI,White,22.0
323,2018S008722    ,Car,FORD,Black,6.0
324,2018S008722    ,Car,FORD,White,12.0
326,2018S003068    ,Bike,TRIUMPH,Red,11.0
327,2018S003068    ,Bike,HONDA,Grey,9.0
328,2018S004457    ,Car,FORD,Black,4.0
329,2018S004457    ,Car,SUZUKI,Grey,13.0
341,2018S008216    ,Car,SKODA,Black,6.0
343,2018S006418    ,Bike,SYM,White,6.0
345,2018S003497    ,Bike,PIAGGIO,Grey,7.0
346,2018S003497    ,Car,BMW,White,29.0
348,2018S005462    ,Car,NISSAN,Red,6.0
349,2018S005462    ,Car,NISSAN,White,7.0
350,2018S007797    ,Car,SEAT,Red,24.0
351,2018S005997    ,Bike,HONDA,White,11.0
355,2018S005483    ,Car,KIA,Blue,8.0
359,2018S009204    ,Bike,KYMCO,Black,22.0
360,2018S009204    ,Car,SEAT,Black-Yellow,6.0
365,2018S009373    ,Car,VOLKSWAGEN,Black,2.0
366,2018S006186    ,Bike,PEUGEOT,White,9.0
368,2018S006332    ,Bike,HONDA,Grey,8.0
369,2018S006332    ,Car,FORD,Black,19.0
370,2018S002668    ,Bike,HONDA,Grey,7.0
371,2018S002668    ,Car,AUDI,Grey,7.0
372,2018S005805    ,Bike,YAMAHA,Black,23.0
373,2018S005805    ,Car,VOLKSWAGEN,Grey,12.0
375,2018S000543    ,Car,FIAT,Blue,8.0
376,2018S005513    ,Bike,YAMAHA,Red,15.0
377,2018S005513    ,Car,AUDI,Grey,38.0
378,2018S004326    ,Bike,PIAGGIO,Grey,6.0
380,2018S006248    ,Bike,HONDA,Blue,11.0
387,2018S004630    ,Car,SEAT,Grey,5.0
390,2018S001723    ,Car,MAZDA,Yellow,9.0
392,2018S001723    ,Car,VOLVO,White,17.0
394,2018S008162    ,Car,OPEL,Black,1.0
395,2018S008977    ,Bike,PIAGGIO,Grey,4.0
397,2018S009578    ,Bike,HONDA,White,27.0
399,2018S005027    ,Bike,KEEWAY,Black,12.0
401,2018S001491    ,Car,RENAULT,Grey,13.0
404,2018S006188    ,Car,AUDI,Black,5.0
405,2018S006188    ,Car,SKODA,Grey,24.0
406,2018S004604    ,Bike,PIAGGIO,Blue,35.0
407,2018S004604    ,Car,JEEP,Black,10.0
409,2018S000312    ,Car,OPEL,White,1.0
410,2018S000148    ,Bike,KAWASAKI,Black,4.0
411,2018S000148    ,Car,TATA,Grey,19.0
413,2018S008719    ,Car,NISSAN,Grey,9.0
416,2018S008380    ,Car,VOLKSWAGEN,Black,32.0
417,2018S009918    ,Bike,YAMAHA,Black,11.0
423,2018S004824    ,Bike,HONDA,Blue,9.0
424,2018S007681    ,Bike,GOVECS,White,2.0
425,2018S007681    ,Car,SEAT,Black,1.0
427,2018S005234    ,Car,VOLKSWAGEN,Red,2.0
432,2018S003589    ,Car,VOLKSWAGEN,Black,10.0
434,2018S008377    ,Car,KIA,Black,27.0
435,2018S004837    ,Car,PEUGEOT,Black,4.0
436,2018S004837    ,Car,CITROEN,Black,12.0
439,2018S006783    ,Bike,APRILIA,Red,1.0
440,2018S006783    ,Car,KIA,Black,10.0
443,2018S009202    ,Car,FORD,Green,11.0
444,2018S009202    ,Car,NISSAN,Blue,41.0
447,2018S006463    ,Bike,GOVECS,White,8.0
448,2018S006463    ,Car,CITROEN,Black,5.0
450,2018S009720    ,Car,SKODA,Grey,1.0
451,2018S009111    ,Bike,YAMAHA,Black,18.0
452,2018S009111    ,Car,OPEL,Black,20.0
454,2018S006544    ,Car,VOLKSWAGEN,Grey,2.0
455,2018S005379    ,Bike,GOVECS,White,2.0
457,2018S005149    ,Bike,HONDA,White,1.0
458,2018S007321    ,Bike,HONDA,Blue,13.0
463,2018S001183    ,Car,LANCIA,Black,9.0
464,2018S005029    ,Bike,KAWASAKI,White,9.0
467,2018S002146    ,Car,PEUGEOT,Red,5.0
470,2018S007814    ,Car,FIAT,Black,6.0
472,2018S009934    ,Car,SKODA,Black,36.0
473,2018S004613    ,Bike,HONDA,White,15.0
474,2018S004613    ,Car,FIAT,White,16.0
475,2018S009010    ,Bike,KYMCO,Grey,1.0
476,2018S009010    ,Car,BMW,Blue,14.0
477,2018S001672    ,Bike,PEUGEOT,Orange,4.0
478,2018S001672    ,Bike,HONDA,White,21.0
482,2018S008160    ,Car,SEAT,Black,14.0
484,2018S004440    ,Bike,HUSQVARNA,Black,1.0
