,Numero_expedient,Vehicle_type,Gender,Age,People_type
739,2018S000652    ,Bike,Woman,27,Driver
741,2018S000653    ,Bike,Man,48,Driver
742,2018S000654    ,Bike,Man,55,Driver
743,2018S000657    ,Bike,Woman,54,Driver
744,2018S000659    ,Bike,Woman,40,Driver
746,2018S000661    ,Car,Woman,72,Driver
747,2018S000662    ,Bike,Woman,47,Driver
748,2018S000663    ,Bike,Woman,46,Driver
749,2018S000664    ,Bike,Woman,30,Driver
750,2018S000665    ,Bike,Man,25,Driver
751,2018S000667    ,Bike,Man,24,Driver
752,2018S000667    ,Bike,Man,40,Driver
753,2018S000668    ,Bike,Woman,38,Driver
755,2018S000671    ,Bike,Man,36,Driver
756,2018S000672    ,Bike,Man,48,Driver
758,2018S000674    ,Bike,Man,37,Driver
760,2018S000676    ,Bike,Woman,23,Driver
761,2018S000677    ,Bike,Man,29,Driver
763,2018S000678    ,Bike,Woman,26,Driver
765,2018S000680    ,Bike,Man,28,Driver
766,2018S000681    ,Bike,Man,34,Driver
768,2018S000683    ,Car,Woman,45,Driver
770,2018S000686    ,Bike,Woman,58,Driver
773,2018S000688    ,Car,Man,39,Driver
775,2018S000689    ,Bike,Man,48,Driver
777,2018S000691    ,Bike,Man,58,Driver
778,2018S000693    ,Bike,Man,27,Driver
780,2018S000696    ,Bike,Man,19,Driver
781,2018S000697    ,Car,Woman,38,Driver
782,2018S000697    ,Car,Man,27,Driver
784,2018S000698    ,Car,Man,31,Driver
785,2018S000699    ,Bike,Woman,42,Driver
786,2018S000699    ,Car,Woman,46,Driver
788,2018S000701    ,Bike,Woman,36,Driver
789,2018S000702    ,Bike,Woman,29,Driver
791,2018S000703    ,Car,Woman,50,Driver
792,2018S000704    ,Bike,Man,22,Driver
794,2018S000706    ,Car,Man,22,Driver
795,2018S000706    ,Car,Man,32,Driver
796,2018S000706    ,Car,Man,33,Driver
797,2018S000708    ,Bike,Woman,28,Driver
798,2018S000709    ,Bike,Man,50,Driver
799,2018S000710    ,Bike,Man,34,Driver
800,2018S000711    ,Bike,Man,38,Driver
801,2018S000712    ,Bike,Woman,43,Driver
804,2018S000714    ,Car,Man,38,Driver
805,2018S000715    ,Bike,Woman,29,Driver
807,2018S000717    ,Bike,Man,33,Driver
808,2018S000719    ,Bike,Woman,55,Driver
811,2018S000720    ,Car,Man,33,Driver
812,2018S000720    ,Car,Man,75,Driver
814,2018S000722    ,Car,Man,34,Driver
816,2018S000724    ,Bike,Man,22,Driver
817,2018S000726    ,Car,Man,29,Driver
818,2018S000726    ,Car,Man,36,Driver
820,2018S000729    ,Bike,Man,29,Driver
822,2018S000731    ,Bike,Man,57,Driver
823,2018S000732    ,Bike,Woman,24,Driver
825,2018S000735    ,Bike,Man,55,Driver
827,2018S000736    ,Bike,Man,51,Driver
829,2018S000737    ,Bike,Man,27,Driver
831,2018S000739    ,Bike,Man,29,Driver
837,2018S000743    ,Bike,Man,66,Driver
838,2018S000744    ,Car,Woman,28,Driver
842,2018S000745    ,Car,Man,29,Driver
843,2018S000746    ,Bike,Man,34,Driver
846,2018S000747    ,Bike,Man,47,Driver
847,2018S000748    ,Bike,Woman,30,Driver
849,2018S000748    ,Bike,Man,31,Driver
854,2018S000751    ,Car,Man,44,Driver
855,2018S000751    ,Car,Man,74,Driver
856,2018S000752    ,Bike,Man,27,Driver
859,2018S000755    ,Bike,Man,38,Driver
860,2018S000755    ,Bike,Man,49,Driver
861,2018S000756    ,Bike,Man,29,Driver
862,2018S000757    ,Bike,Woman,25,Driver
863,2018S000757    ,Car,Woman,20,Driver
864,2018S000758    ,Bike,Woman,39,Driver
865,2018S000759    ,Car,Woman,36,Driver
866,2018S000760    ,Car,Man,20,Driver
867,2018S000762    ,Bike,Man,58,Driver
868,2018S000763    ,Car,Woman,74,Driver
869,2018S000764    ,Bike,Man,27,Driver
871,2018S000765    ,Bike,Man,48,Driver
874,2018S000767    ,Bike,Man,58,Driver
875,2018S000768    ,Bike,Woman,26,Driver
876,2018S000769    ,Car,Woman,42,Driver
877,2018S000770    ,Car,Woman,54,Driver
878,2018S000770    ,Car,Man,20,Driver
879,2018S000771    ,Bike,Man,24,Driver
880,2018S000772    ,Bike,Man,38,Driver
887,2018S000778    ,Bike,Woman,23,Driver
888,2018S000779    ,Bike,Man,57,Driver
891,2018S000783    ,Bike,Man,23,Driver
892,2018S000784    ,Bike,Woman,41,Driver
893,2018S000785    ,Bike,Man,29,Driver
894,2018S000786    ,Bike,Woman,40,Driver
895,2018S000786    ,Bike,Man,51,Driver
896,2018S000787    ,Car,Woman,56,Driver
897,2018S000787    ,Car,Man,30,Driver
898,2018S000788    ,Bike,Man,30,Driver
899,2018S000789    ,Bike,Woman,52,Driver
902,2018S000792    ,Bike,Man,21,Driver
903,2018S000792    ,Bike,Man,39,Driver
904,2018S000793    ,Bike,Man,35,Driver
905,2018S000794    ,Bike,Man,54,Driver
906,2018S000795    ,Bike,Man,43,Driver
907,2018S000796    ,Bike,Woman,22,Driver
908,2018S000797    ,Bike,Man,49,Driver
910,2018S000799    ,Car,Woman,25,Driver
911,2018S000801    ,Bike,Man,31,Driver
912,2018S000802    ,Bike,Woman,32,Driver
914,2018S000804    ,Car,Man,37,Driver
917,2018S000806    ,Bike,Man,40,Driver
918,2018S000807    ,Bike,Man,24,Driver
920,2018S000809    ,Bike,Woman,40,Driver
921,2018S000810    ,Bike,Woman,37,Driver
